id_tanaman,nama_daun,harga,butuh,satuan,nama_toko,url
3,jahe putih/jahe gajah segar 250 gram,12500,300,gram,toko intan herbal,https://www.tokopedia.com/tokoherbalintan/jahe-putih-jahe-gajah-segar-250-gram
3,jahe gajah - jahe gajah tua,6000,250,gram,farm fresh 88,https://www.tokopedia.com/farm-fresh-88/jahe-gajah-jahe-gajah-tua
3,jahe gajah jahe segar super produk lokal,12500,250,gram,LUGUSRANU,https://www.tokopedia.com/lugusranu/jahe-gajah-jahe-segar-super-produk-lokal
3,1 kg jahe emprit fresh,50000,1050,gram,petani muda kampung,https://www.tokopedia.com/petanimudakampun/1-kg-jahe-emprit-fresh
3,JAHE EMPRIT SEGAR,12500,500,gram,WarungeWongJowo,https://www.tokopedia.com/warungewongjowo/jahe-emprit-segar
3,Jahe Gajah / Ginger / Jahe Segar best in town - 500 gram,12500,500,gram,SayFruit,https://www.tokopedia.com/sayfruit/jahe-gajah-ginger-jahe-segar-best-in-town-500-gram
3,jahe putih super,3500,250,gram,Bumbu Ginting,https://www.tokopedia.com/bginting/jahe-putih-super
3,Jahe Putih organik,7200,100,gram,PT. LEDAR MART,https://www.tokopedia.com/ptledarmart/jahe-putih-organik?txsc=google&ref=googleshopping&c=16900546076&m=538761737&p=2772635481&gclid=Cj0KCQjw06OTBhC_ARIsAAU1yOV1cCmn1m0BTuQHltXDpjfhgJxwu4Yett34eNHZ3eZ9S4i2YTf4jbsaAjFbEALw_wcB&gclsrc=aw.ds
3,JAHE LOKAL SUPER,15000,250,gram,(FF) fresh fruits,https://www.tokopedia.com/freshfruitseveryday/jahe-lokal-super
3,JAHE GAJAH / JAHE PUTIH,10000,500,gram,8 Saudara Sejahtera,https://www.tokopedia.com/8ss/jahe-gajah-jahe-putih
3,Jahe Putih / Jahe Gajah / Ginger,15500,550,gram,Gubuk Sayur,https://www.tokopedia.com/gubuksayur/jahe-putih-jahe-gajah-ginger
3,jahe - 200gram,9000,200,gram,samudrapasar,https://www.tokopedia.com/samudra-pasar/jahe-200gram
3,"Jahe Gajah Utuh / Jahe Gajah Kupas - Utuh, 250 gr",12500,250,gram,Sayur Fresh Tangerang,https://www.tokopedia.com/sayurfreshtangerang/jahe-gajah-utuh-jahe-gajah-kupas-utuh-250-gr
3,jahe super kualitas terbaik sekilo,28000,1,kg,BuyungBumbu86,https://www.tokopedia.com/buyungbumbu86/jahe-super-kualitas-terbaik-sekilo
3,Gudang Sayur - Jahe Gajah 500 Gram,14000,500,gram,gudang_sayur,https://shopee.co.id/Gudang-Sayur-Segar-Jahe-Gajah-Jahe-Putih-Penangkal-Virus-500-gram-i.4825304.3618586141
3,Jahe emprit/Jahe kampung kwalitas super 1 kilo,40000,1,kg,anis.hidayanik,https://shopee.co.id/Jahe-emprit-Jahe-kampung-kwalitas-super-1-kilo-i.4890274.247370896
3,Jahe Gajah Lokal 1 kg,18000,1,kg,berkahindonesia,https://shopee.co.id/Jahe-Gajah-Lokal-1-kg-i.4539986.5217647391
3,Jahe Merah 1 kg,14500,1,kg,berkahindonesia,https://shopee.co.id/Jahe-Merah-1-kg-i.4539986.6017914775
3,JAHE EMPRIT & JAHE MERAH Segar harga petani kwalitas super,20000,1,kg,hesty08,https://shopee.co.id/JAHE-EMPRIT-JAHE-MERAH-Segar-harga-petani-kwalitas-super-i.3090289.6732834507
3,JAHE GAJAH Organic /Pack (~250g),15000,250,gram,qiranaorganic,https://shopee.co.id/JAHE-GAJAH-Organic-Pack-(~250g)-i.138828039.4820327922
3,Jahe Gajah [100G],9500,100,gram,sayursegar.id,https://shopee.co.id/-KIRIM-INSTANT-JAHE-GAJAH-100g-i.163222971.2537323354
3,Jual Jahe Harga Terbaik,44900,1,kg,kahakanan,https://shopee.co.id/Jual-Jahe-Harga-Terbaik-i.272478596.3238293118
3,Jual Jahe 1 kg,45000,1,kg,bandungfarmerfruit,https://shopee.co.id/Jual-Jahe-1-kg-i.106721501.6340329344
3,Jahe Emprit Kwalitas Premium 250 gr,11000,250,gram,pasarsayursanjaya,https://shopee.co.id/Jahe-Emprit-Kwalitas-Premium-250-gr-i.277196520.8000793836?gclid=Cj0KCQjw06OTBhC_ARIsAAU1yOUFoTxq386ZpED2nT4zqyeaMLhaneFQP6kRlsOrbveOEzfvIE9LVAwaAiBWEALw_wcB
3,Jahe emprit asli,50000,1000,gram,pawonmanis.id,https://shopee.co.id/Jahe-emprit-asli-i.39944442.6518659106
6,kunyit bulat 250gr,7900,250,gram,Online jakarta shop,https://www.tokopedia.com/onlinejakartasho/kunyit-bulat-250gr
6,kunyit/kunir/koneng segar 500 gram,6000,500,gram,kaktuscentong,https://www.tokopedia.com/tanamankaktus/kunyit-kunir-koneng-segar-500-gram
6,unyit / kunyit segar 1kg,18000,1050,gram,ladydhiana shop,https://www.tokopedia.com/ladydhiana/kunyit-kunyit-segar-1kg
6,Kunyit Kunir Jumbo Segar Berkualitas 500 Gram,4000,500,gram,Suka - Suka,https://www.tokopedia.com/younna/kunyit-kunir-jumbo-segar-berkualitas-500-gram
6,Jual Kunyit Murah 100% segar 1 Kg Jabodetabek - 250g,5000,1,kg,healthy homes,https://www.tokopedia.com/healthyhomes/jual-kunyit-murah-100-segar-1-kg-jabodetabek-250g
6,Kunyit Kuning Segar 1Kg,6000,1000,gram,WBN INDONESIA,https://www.tokopedia.com/wbnindonesia/kunyit-kuning-segar-1kg
