id,tanaman,informasi,manfaat,pengolahan
3,jahe,"Jahe atau Zingiber officinale Rosc merupakan tanaman rempah yang dimanfaatkan sebagai minuman atau campuran pada bahan pangan. Rasa jahe yang pedas bila dibuat minuman memberikan sensasi sebagai pelega dan penyegar tenggorokan. Secara umum, jahe memiliki kandungan zat gizi dan senyawa kimia aktif yang berfungsi preventif dan kuratif. Dari segi nutrisi,  jahe mengandung kalori,  karbohidrat, serat, protein, sodium, besi, potasium, magnesium, fosfor, zeng, folat, vitamin C, vitamin B6, vitamin A, riboflavin dan niacin.",1. Mengatasi masalah pencernaan <br> 2. Mengurangi mual <br> 3. Mencegah kanker <br> 4. Mencegah diabetes <br> 5. Meningkatkan daya tahan tubuh <br> 6. Mencegah peradangan,"Pengolahan jahe untuk obat: Pertama, siapkan rimpang jahe sebesar jari dan madu. Setelah mencuci bersih rimpang jahe, kita bisa memarutnya lalu mencampurkannya bersama setengah sendok makan air dan santu sendok makan madu. Kemudian, peras campuran bahan tersebut dan menyaringnya sehingga airnya dapat diminum. <br> Berikut beberapa olahan lainnya: <br> https://www.youtube.com/watch?v=Wq4KHNA2waU <br> https://www.youtube.com/watch?v=ePIoHNCN4Kw <br> https://www.youtube.com/watch?v=QovEhdHUJ2w "
6,kunyit,"Kunyit merupakan Tanaman yang termasuk dalam jenis temu-temuan dan tergolong dalam famili Zingiberaceae. Bagian utama dari tanaman kunyit adalah rimpangnya atau tempat tumbuhnya tunas. Kunyit memiliki manfaat sebagai jamu dan obat tradisional untuk berbagai jenis penyakit. Senyawa yang terkandung dalam kunyit yaitu kurkuminoid dan minyak atsiri mempunyai peranan sebagai antioksidan, antitumor, dan antikanker.",1. Mengurangi nyeri pada penderita osteoarthritis <br> 2. Mencegah penyakit jantung <br> 3. Meredakan rasa gatal pada kulit <br>4. Meringankan gangguan menstruasi <br> 5. Mengatasi gangguan saluran pencernaan <br> 6. Mengurangi depresi,"Pengolahan kunyit untuk obat: Cuci bersih semua bahan, kunyit dan lengkuas digeprek. Kemudian rebus air hingga mendidih, kecilkan api dan masukan semua bahan, tunggu kira - kira hingga setengahnya dan matikan, saring dalam keadaan dingin. <br> Berikut beberapa olahan lainnya: <br> https://www.youtube.com/watch?v=4B69EzZI-3g <br> https://www.youtube.com/watch?v=YugJwww5JPU <br> https://www.youtube.com/watch?v=obvjGlNJRJo "
7,lidah buaya,"Aloe vera atau lidah buaya merupakan tanaman herbal yang menyimpan banyak manfaat baik untuk kesehatan. Lidah buaya adalah tanaman herbal yang tersohor sejak zaman pengobatan kuno. Lidah buaya sendiri merupakan tanaman asli di Afrika Utara, Eropa Selatan, dan Canary Island. Lidah buaya juga mengandung saponin yang berfungsi sebagai antiseptik, selain itu senyawa quinon pada lidah buaya digunakan sebagai antibakteri.",1. Mempercepat penyembuhan luka<br> 2. Mengobati luka bakar <br>3. Mengurangi rasa gatal pada kulit <br>4. Menangani sariawan <br> 5. Mengatasi kerontokan rambut<br> 6. Menurunkan kadar gula darah,"Pengolahan lidah buaya untuk obat: Bahan yang diperlukan: 20 gram daun segar lidah buaya.<br>Cara meracik: daun lidah buaya dicuci kemudian diparut.<br> Cara pemakaian: airnya diminum dua kali sehari sebanyak satu sendok makan.<br> Beberapa olahan lainnya: <br>https://www.youtube.com/watch?v=GGPDYnlezKU <br> https://www.youtube.com/watch?v=-_CmTn65dhI <br> https://www.youtube.com/watch?v=LwHXWsdHzF0 
"
13,temulawak,"Temulawak (Curcuma zanthorrhiza) merupakan tanaman asli Indonesia yang tumbuh liar di hutan-hutan jati di Jawa dan Madura. Tumbuhan semak berumur tahunan, batang semunya terdiri dari pelepah-pelepah daun yang menyatu, mempunyai umbi batang. Tanaman ini masih kerabat dekat dengan kunyit. Kandungan temulawak memiliki manfaat untuk antioksidan, antimikroba, dan antiinflamsi.",1. Mengatasi gangguan pencernaan<br> 2. Meningkatkan daya tahan<br> 3. Mengobati penyakit liver <br>4. Mencegah tumor<br> 5. Mencegah demam berdarah<br> 6. Mencegah serangan jantung,"Pertama, cuci semua bahan hingga bersih. Lalu haluskan temulawak dan bawang putih dengan cara diparut atau pun diblender. Setelah itu masukkan bahan yang telah dihaluskan ke dalam panci berisi ari. Kemudian didihkan, setelah selesai saring dan sajikan selagi hangat. <br> Berikut beberapa olahan lainnya: <br>https://www.youtube.com/watch?v=XoBa8b-ALaM <br> https://www.youtube.com/watch?v=ELOOHZ6gOqQ <br> https://www.youtube.com/watch?v=gK85cq3nL4s "
12,sereh,"Serai atau Sereh merupakan tanaman yang sering digunakan sebagai bumbu dapur. Batang ini begitu khas sehingga sering juga dimanfaatkan sebagai bahan alami pengusir nyamuk. Tanaman ini biasanya ditanam oleh Masyarakat sebagai tanaman obat di pekarangan rumah. Secara fisik, Serai mirip dengan rumput namun memiliki ukuran yang lebih besar. Daunnya memiliki tekstur kasar dan tajam pada bagian sampingnya. Ketika daun disobek, wangi khasnya akan segera menyerebak. Tak hanya bermanfaat sebagai bumbu dapur saja, ternyata terdapat aneka manfaat dan khasiat batang Serai untuk kesehatan.",1. Dapat Mengatasi diabetes <br> 2. Dapat Mengobati Anemia <br> 3. Dapat Mengatasi Bakteri dan Jamur <br>4. Dapat Mengatasi Masuk Angin dan Perut Kembung <br> 5. Dapat Mengobati Penyakit Kulit <br> 6. Dapat Menurunkan Tekanan Darah,"Pengolahan akar sereh untuk obat: Potong akar sereh dan cuci sampai bersih sebelum kamu rebus dengan 3 gelas air, Tunggu sampai airnya menguap dari 3 gelas menjadi 1 gelas, Saring air rebusan dan buang sisa akar, dan minum ramuan teh akar serai pada pagi hari dan malam hari sebelum tidur. Adapun cara mengolah tanaman herbal sereh lainnya. <br> Berikut beberapa olahan lainnya: <br> https://www.youtube.com/watch?v=3WgWt11JHkM <br> https://www.youtube.com/watch?v=5eEIrO2894k <br> https://www.youtube.com/watch?v=nsrrIP4mZOY "
14,daun kelor,"Daun kelor atau memiliki nama lain Moringa oleifera, termasuk dalam jenis tanaman tropis yang banyak digunakan sebagai obat herbal atau obat tradisional. Jenis tanaman ini sangat mudah dikenali dari ukuran daunnya yang kecil. Tidak hanya itu, pohon kelor juga sangat mudah bertumbuh pada tanah yang bisa dikatakan tidak terlalu subur. Jika dilihat dari fungsinya secara tradisional, daun kelor telah banyak dipakai untuk jamu, hingga suplemen.",1. Dapat Menurunkan Kadar Gula Darah <br> 2. Dapat Mengurangi Peradangan atau Inflamasi dalam Tubuh <br> 3. Dapat Membantu Menghambat Tumbuhnya Sel Kanker <br> 4. Dapat Mencegah Hipertensi <br> 5. Dapat Menjaga kesehatan dan fungsi dari otak <br> 6. Dapat Mengatasi Asam Lambung,"Pengolahan daun kelor untuk obat: Cari tanaman kelor segar dan pisahkan daun dari batangnya. Lalu, cuci atau rendam daun kelor tanpa batang dalam air bersih dan keringkan. Selanjutnya, letakkan daun di nampan bersih dan simpan di udara terbuka, bukan di bawah sinar matahari sampai benar-benar kering. Setelah itu, tumbuk atau blender sampai halus dan masukkan ke dalam wadah khusus. Anda tinggal mencampurkan bubuk daun kelor ini dengan teh, dan menambahkan madu supaya rasanya lebih manis. Adapun cara mengolah tanaman herbal daun kelor lainnya. <br>Berikut beberapa olahan lainnya:<br> https://www.youtube.com/watchv=sQ5EbYbSLvg <br> https://www.youtube.com/watch?v=_5ehh5g34fw <br> https://www.youtube.com/watch?v=OqnoqxIi434 "
16,daun sirih,"Sirih (Piper betle L.) merupakan tumbuhan merambat dengan bentuk daun menyerupai jantung dan berwarna hijau. Minyak atsiri yang terkandung dalam sirih menyebabkan tumbuhan ini mempunyai aroma yang khas. Sirih yang telah dikenal masyarakat sebagai tanaman obat mempunyai banyak manfaat untuk kesehatan. Secara tradisional, sirih sering digunakan sebagai obat untuk pengobatan berbagai penyakit yang menyerang manusia. Salah satu suku yang ada di Indonesia yang dikenal dalam pemanfaatan obat khususnya sirih (P. betle) adalah masyarakat suku Madura.",1. Dapat Menghentikan pendarahan <br> 2. Dapat Mempercepat penyembuhan luka bakar <br> 3. Dapat Menyembuhkan radang tenggorokan <br> 4. Dapat Menjaga kesehatan jantung <br> 5. Dapat Menjaga kesehatan mulut dan gigi  <br> 6. Dapat Mencegah infeksi karena bakteri,"Pengolahan daun sirih untuk obat: Merebus empat lembar daun sirih dengan dua gelas air sampai mendidih dan tambahkan 100 gram gula. Setelah dingin, air rebusan digunakan untuk berkumur minum ramuan tersebut satu sendok tiga kali sehari. Adapun cara mengolah tanaman herbal daun sirih lainnya. <br> Berikut beberapa olahan lainnya: <br> https://www.youtube.com/watch?v=x-YTaxiD8hU <br> https://www.youtube.com/watch?v=-4rMUXjuHro&t=385s "
18,kencur,"Kencur (Kaempferia galangal L.) adalah salah satu jenis bumbu dapur yang memiliki aroma khas yang segar dan menyeruak. Selain digunakan sebagai penambah cita rasa dalam masakan, manfaat kencur juga sudah lama dikenal sebagai obat alami. Tanaman kencur biasanya tumbuh subur di daerah pegunungan atau dataran rendah. Struktur tanah yang paling baik untuk menanam kencur yakni gembur alias tidak terlalu banyak mengandung air.",1. Dapat Mencegah karies gigi <br> 2. Dapat Meningkatkan nafsu makan <br> 3. Dapat Mengurangi kembung <br> 4. Dapat Mengobati kencing batu <br> 5. Dapat Menurunkan tekanan darah <br> 6. Dapat Meredakan nyeri dan peradangan,"Pengolahan kencur untuk obat: Menumbuk 3-5 siung kencur sampai halus, lalu tambahkan air hangat. Saring larutan kencur untuk mendapatkan air perasannya. Minumlah air perasan kencur ini untuk mengurangi batuk yang berkepanjangan. Jika dirasa masih terlalu menyengat, Anda bisa melarutkan teh herbal pada sari perasan kencur ini. Adapun cara mengolah tanaman herbal kencur lainnya. <br> Berikut beberapa olahan lainnya:<br> https://www.youtube.com/watch?"
20,lengkuas,"Lengkuas, laos atau kelawas (bahasa Karo) (Alpinia galanga) merupakan jenis tumbuhan umbi-umbian yang bisa hidup di daerah dataran tinggi maupun dataran rendah. Lengkuas adalah salah satu jenis rempah-rempah yang banyak ditanam di Asia, seperti India, Arab, Cina, Sri Lanka, dan Indonesia.","1. Mengobati diare <br> 2. Mencegah infeksi<br> 3. Mengurangi risiko tumor dan kanker<br>4. Meredakan peradangan dan nyeri<br>6. Meredakan batuk, sakit tenggorokan, dan suara serak","Pengolahan lengkuas untuk obat: Rebus 2 rimpang lengkuas sebesar ibu jari, 3 rimpang temulawak sebesar ibu jari, dan 1 genggam daun maniran dengan 3 gelas air sampai mendidih atau kurang lebih 10 menit. Ramuan tersebut diminum 2 kali sehari 1 cangkir, pada pagi dan sore hari. <br> Berikut beberapa olahan lainnya: <br>
https://youtu.be/hvoZ5mIYf2w <br>
https://youtu.be/SeapIgxTyvY 

"
19,kumis kucing,Orthosiphon aristatus atau dikenal dengan nama kumis kucing termasuk tanaman dari famili Lamiaceae/Labiatae. Tanaman ini merupakan salah satu tanaman obat asli Indonesia yang mempunyai manfaat dan kegunaan yang cukup banyak dalam menanggulangi berbagai penyakit. Sebagian besar manfaat kumis kucing berasal dari kandungan senyawa bioaktif di dalam daunnya.,1. Mengobati asam urat<br>2. Menurunkan tekanan darah<br>3. Mengatasi rematik<br>4. Menurunkan kadar gula darah<br>6. Mengatasi masalah menstruasi<br>,"Pengolahan kumis kucing untuk obat: Anda hanya perlu merebus 5 lembar daun kumis kucing dalam 2 gelas air hingga tersisa 1 gelas. Untuk hasil yang lebih baik, penderita asam urat harus meminumnya 3 kali sehari sampai sembuh. <br> Berikut beberapa olahan lainnya: <br>
https://youtu.be/gXIlfDG_VTs <br>
https://youtu.be/B8lacPfg0uE 
"
